election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/3/1987,1987,11,3,K,Per Diem Nurses Retirement Exemption,96563,68045,58.6,41.4,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the City excluded extra hours worked by nurses on a day-to-day basis when calculating their retirement benefits?,https://sfpl.org/index.php?pg=2000027201&propid=1350
11/3/1987,1987,11,3,L,"County Clerk, Appointed by Superior Court, Not Civil Service",91967,64065,58.9,41.1,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the county clerk be appointed and hold office at the pleasure of the superior court, rather than under civil service rules?",https://sfpl.org/index.php?pg=2000027201&propid=1351
11/3/1987,1987,11,3,N,Candidate Filing Deadline,111610,46481,68.1,35.1,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the filing deadline for candidates for municipal office be moved back from sixty days prior to election day to eight-eight days prior to election day?,https://sfpl.org/index.php?pg=2000027201&propid=1353
11/3/1987,1987,11,3,O,Retired Employees Vote Health Service Board,108757,52352,67.5,32.5,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall retired City employees be allowed to vote for members of the Health Service Board?,https://sfpl.org/index.php?pg=2000027201&propid=1354
11/3/1987,1987,11,3,P,District Election of Supervisors,76914,98171,43.9,56.1,50%+1,F,Initiative,initiative,Charter Amendment,Shall members of the Board of Supervisors be elected by district rather than by city-wide vote?,https://sfpl.org/index.php?pg=2000027201&propid=1355
11/3/1987,1987,11,3,Q,"Minimum Firefighter Staffing, Stations, Budget",75070,86627,46.4,53.6,50%+1,F,Initiative,initiative,Charter Amendment,"Shall the City provide a minimum number of firefighting personnel, stations and equipment, set procedures for moving or closing fire stations, and require the Mayor and the Board of Supervisors to appropriate funds to maintain these services?",https://sfpl.org/index.php?pg=2000027201&propid=1356
11/3/1987,1987,11,3,R,Utility User Tax Repeal,103484,63295,62.0,38.0,50%+1,P,Initiative,initiative,Ordinance,"Shall any local tax on residential gas, electricity, water or telephone bills be prohibited?",https://sfpl.org/index.php?pg=2000027201&propid=1357
11/3/1987,1987,11,3,T,Public Land Sale to Require Voter Approval,87189,76384,53.3,46.7,50%+1,P,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to require the consent of the voters on the sale or transfer of public land under specified conditions?,https://sfpl.org/index.php?pg=2000027201&propid=1359
11/3/1987,1987,11,3,U,Nuclear Free Zone,91350,75314,54.8,45.2,50%+1,P,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to declare San Francisco a nuclear free zone?,https://sfpl.org/index.php?pg=2000027201&propid=1360
11/3/1987,1987,11,3,V,Consumer Boycott Firms - South Africa Apartheid,98281,67729,59.2,40.8,50%+1,P,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to support a consumer boycott of companies which profit from apartheid in South Africa?,https://sfpl.org/index.php?pg=2000027201&propid=1361
11/3/1987,1987,11,3,W,Baseball Stadium at Seventh (7th) and Townsend Streets,85005,96445,46.8,53.2,50%+1,F,Supervisors,supervisors,Policy Declaration,Shall it be the policy of the people of San Francisco to build a baseball park at 7th and Townsend Streets at no cost to the City?,https://sfpl.org/index.php?pg=2000027201&propid=1362
12/8/1987,1987,12,8,X,"Housing Lease Broadway Tunnel Air Rights, Pineview",89088,48367,64.8,35.2,50%+1,P,Referendum,referendum,Ordinance,Shall the ordinance approving the lease of air rights over the Robert C. Levy tunnel to a nonprofit corporation to build housing for low-income elderly and handicapped persons be adopted?,https://sfpl.org/index.php?pg=2000027201&propid=1363
6/7/1988,1988,6,7,A,Public School Facilities System Improvement Bonds,130534,32099,80.2,19.8,66 2/3%,P,Supervisors,supervisors,Bond Issue,"To incur a bonded indebtedness of $90,000,000 for the improvement of the public school facilities of the City and County of San Francisco.",https://sfpl.org/index.php?pg=2000027201&propid=1364
